,id,proper,ra,dec,spect,hip,hd,hr,gl,bf,con,mag,dist,lum,rasc,dist_ly
180,17316,,3.715416,47.787551,B5III SB,17358,22928,1122,,39Del Per,Per,3.01,158.2278,1362.699197,55.73124,516.0694634
181,30049,,6.338553,-30.063367,B2.5V,30122,44402,2282,,1Zet CMa,CMa,3.02,111.1111,666.1929002,95.078295,362.3955193
182,33888,,7.050409,-23.833291,B3Ia,33977,53138,2653,,24Omi2CMa,CMa,3.02,847.4576,38761.44867,105.756135,2764.03381
183,59134,,12.168746,-22.619766,K2III,59316,105707,4630,,2Eps Crv,Crv,3.02,97.4659,512.3892387,182.53119,317.8908808
184,23361,,5.032815,43.823308,F0Ia,23416,31964,1605,,7Eps Aur,Aur,3.03,653.5948,22845.46489,75.492225,2131.738656
185,70851,,14.534636,38.308253,A7IIIvar,71075,127762,5435,,27Gam Boo,Boo,3.04,26.6099,37.49730022,218.01954,86.78978544
186,62127,,12.771346,-68.108119,B2V,62322,110879,4844,,Bet Mus,Mus,3.04,104.712,580.7644175,191.57019,341.5244707
187,100020,,20.350187,-14.781367,A5:n,100345,193495,7776,,9Bet Cap,Cap,3.05,100.2004,526.7444883,305.252805,326.8096166
188,95648,Albireo,19.512023,27.959681,K3II+...,95947,183912,7417,,6Bet1Cyg,Cyg,3.05,133.1558,930.6791832,292.680345,434.295631
189,32161,,6.732202,25.131124,A3mA6-A9,32246,48329,2473,,27Eps Gem,Gem,3.06,259.0674,3489.795674,100.98303,844.9638691
190,50655,,10.372155,41.499516,M0III SB,50801,89758,4069,,34Mu  UMa,UMa,3.06,70.6215,259.4179362,155.582325,230.3362595
191,94081,,19.209225,67.661541,G9III,94376,180711,7310,,57Del Dra,Dra,3.07,29.8686,45.96211447,288.138375,97.41823102
192,89364,,18.293793,-36.761686,M2III,89642,167618,6832,,Eta Sgr,Sgr,3.1,44.7427,100.3690931,274.406895,145.9310006
193,43689,,8.92323,5.945563,G8III-IV,43813,76294,3547,,16Zet Hya,Hya,3.11,51.2558,130.4968414,133.84845,167.173867
194,101445,,20.626116,-47.291502,K0III,101772,196171,7869,Gl 794.1,Alp Ind,Ind,3.11,30.1477,45.12321133,309.39174,98.32853241
195,52789,,10.827079,-16.193648,K0/K1III,52943,93813,4232,,Nu  Hya,Hya,3.11,44.0723,96.47171519,162.406185,143.7444508
196,56392,,11.596363,-63.019841,B9II:,56561,100841,4467,,Lam Cen,Cen,3.11,128.7001,822.6213939,173.945445,419.7630982
197,84121,,17.250531,24.839204,A3IVv SB,84379,156164,6410,NN 3995A,65Del Her,Her,3.12,23.0362,26.10958687,258.757965,75.13394847
198,44000,,8.986828,48.041826,A7IV,44127,76644,3569,Gl 331A,9Iot UMa,UMa,3.12,14.5096,10.35618977,134.80242,47.32393098
199,82826,,16.977006,-55.990141,K5III,83081,152786,6285,Wo 9581,Zet Ara,Ara,3.12,149.0313,1092.446053,254.65509,486.0745268
200,27559,,5.849329,-35.768309,K1.5III,27628,39425,2040,,Bet Col,Col,3.12,26.7308,35.15604405,87.739935,87.18410805
201,73107,,14.986025,-42.104194,B2IV,73334,132200,5576,,Kap Cen,Cen,3.13,117.5088,672.9766563,224.790375,383.2620017
202,45728,,9.350925,34.392562,M0IIIvar,45860,80493,3705,,40Alp Lyn,Lyn,3.14,62.2665,187.2405896,140.263875,203.0859257
203,84122,,17.250788,36.809162,K3IIvar,84380,156283,6418,,67Pi  Her,Her,3.16,115.4734,632.120682,258.76182,376.6234225
204,46568,,9.520371,-57.034377,K5III,46701,82668,3803,,,Vel,3.16,73.2601,254.4485615,142.805565,238.9422118
205,46720,,9.547715,51.6773,F6IV,46853,82328,3775,Gl 354A,25The UMa,UMa,3.17,13.4789,8.534930716,143.215725,43.96224108
206,91754,,18.76094,-26.990778,B8.5III,92041,173300,7039,,27Phi Sgr,Sgr,3.17,73.3676,253.0463049,281.4141,239.2928295
207,31605,,6.629353,-43.195934,B8III SB,31685,47670,2451,,Nu  Pup,Pup,3.17,113.8952,609.817664,99.440295,371.4760285
208,83638,,17.146448,65.714683,B6III,83895,155763,6396,,22Zet Dra,Dra,3.17,100.7049,476.4309868,257.19672,328.4550736
209,23712,,5.10858,41.234474,B3V,23767,32630,1641,,10Eta Aur,Aur,3.18,74.6269,259.1791135,76.6287,243.400112
210,71682,,14.708492,-64.975138,F1Vp,71908,128898,5463,Gl 560A,Alp Cir,Cir,3.18,16.57,12.78792263,220.62738,54.0440492
211,22396,,4.830669,6.961276,F6V,22449,30652,1543,Gl 178,1Pi 3Ori,Ori,3.19,8.0684,3.003308879,72.460035,26.3155707
212,82745,,16.961139,9.375033,K2IIIvar,83000,153210,6299,,27Kap Oph,Oph,3.19,28.0426,36.27438015,254.417085,91.46262246
213,23630,,5.091018,-22.371032,K4III,23685,32887,1654,,2Eps Lep,Lep,3.19,65.4022,197.333128,76.36527,213.3131994
214,86991,,17.830965,-37.043304,K0/K1III,87261,161892,6630,,,Sco,3.19,38.5802,68.67521061,267.464475,125.8316371
215,116361,,23.65582,77.632276,K1IV,116727,222404,8974,Gl 903,35Gam Cep,Cep,3.21,14.1024,9.003264311,354.8373,45.99582374
216,104394,,21.215607,30.226916,G8II SB,104732,202109,8115,,64Zet Cyg,Cyg,3.21,43.8789,87.17661466,318.234105,143.1136651
217,74912,,15.356201,-40.647518,B1.5IV,75141,136298,5695,,Del Lup,Lup,3.22,271.0027,3296.097122,230.343015,883.8915662
218,89684,,18.355167,-2.898825,K0III-IV,89962,168723,6869,Gl 711,58Eta Ser,Ser,3.23,18.5426,15.28973647,275.327505,60.47780246
219,79640,,16.305358,-4.692511,G8III,79882,146791,6075,NN 3949,2Eps Oph,Oph,3.23,32.6371,47.38053933,244.58037,106.4478599
220,105691,,21.477662,70.560716,B2IIIv SB,106032,205021,8238,,8Bet Cep,Cep,3.23,210.084,1962.456324,322.16493,685.201571
221,99156,,20.188413,-0.821461,B9.5III,99473,191692,7710,,65The Aql,Aql,3.24,87.7963,339.4689054,302.826195,286.3529002
222,32521,,6.803194,-61.941391,A7IV,32607,50241,2550,Gl 248,Alp Pic,Pic,3.24,29.6033,38.61890894,102.04791,96.55293915
223,68675,,14.106193,-26.682361,K2III,68895,123123,5287,Gl 538.1,49Pi  Hya,Hya,3.25,30.9598,41.84080196,211.592895,100.9772453
224,92902,,18.982395,32.689557,B9III,93194,176437,7178,,14Gam Lyr,Lyr,3.25,190.1141,1577.61127,284.735925,620.068544
225,73486,,15.067839,-25.281965,M3/M4III,73714,133216,5603,,20Sig Lib,Lib,3.25,88.4173,341.3500729,226.017585,288.378329
226,36274,,7.487179,-43.301432,K5III SB,36377,59717,2878,,Sig Pup,Pup,3.25,59.3824,153.886315,112.307685,193.6792605
227,17637,,3.787295,-74.238962,M2III,17678,24512,1208,,Gam Hyi,Hyi,3.26,65.6168,186.2087137,56.809425,214.0131302
228,112776,,22.910837,-15.82082,A3V,113136,216627,8709,,76Del Aqr,Aqr,3.27,49.2368,103.8484455,343.662555,160.5887774
229,3086,,0.655462,30.861024,K3III...,3092,3627,165,,31Del And,And,3.27,32.352,44.87453899,9.83193,105.5179891
230,84711,,17.366827,-24.999545,B2IV,84970,157056,6453,,42The Oph,Oph,3.27,133.6898,765.5966069,260.502405,436.0373041
231,49958,,10.228961,-70.037903,B8III,50099,89080,4037,,Ome Car,Car,3.29,104.8218,462.1681361,153.434415,341.88259
232,75229,,15.415494,58.966065,K2III,75458,137759,5744,,12Iot Dra,Dra,3.29,31.027,40.51352202,231.23241,101.1964221
233,24249,,5.215528,-16.205468,B9IV: HgMn,24305,33904,1702,,5Mu  Lep,Lep,3.29,57.0125,136.7728826,78.23292,185.9496895
234,51428,,10.533743,-61.685332,B4Vne,51576,91465,4140,,,Car,3.3,148.1481,914.5343031,158.006145,483.193917
235,21228,,4.566598,-55.044975,A0V:,21281,29305,1465,,Alp Dor,Dor,3.3,51.7063,111.4807803,68.49897,168.6431998
236,85008,,17.423239,-56.377727,B1Ib,85267,157246,6462,,Gam Ara,Ara,3.31,341.2969,4812.824219,261.348585,1113.160317
237,29582,,6.247961,22.506799,M3III,29655,42995,2216,,7Eta Gem,Gem,3.31,117.9245,574.3809135,93.719415,384.6178322
238,59592,Megrez,12.257086,57.032617,A3Vvar,59774,106591,4660,Gl 459,69Del UMa,UMa,3.32,24.6853,24.93446188,183.85629,80.51258707
239,83885,,17.202552,-43.239189,F3p,84143,155203,6380,Gl 657,Eta Sco,Sco,3.32,22.5276,20.77782098,258.03828,73.47511906
240,87775,,17.983775,-9.773632,K0III,88048,163917,6698,,64Nu  Oph,Oph,3.32,46.2107,87.41782564,269.756625,150.7189707
241,5154,,1.101407,-46.718414,G8IIIvar,5165,6595,322,,Bet Phe,Phe,3.32,100000,409260659.7,16.521105,326156
242,93569,,19.11567,-27.670423,K1/K2III,93864,177716,7234,Wo 9643,40Tau Sgr,Sgr,3.32,37.2856,56.91149576,286.73505,121.6092215
243,14318,,3.08627,38.840274,M3IIIvar,14354,19058,921,,25Rho Per,Per,3.32,94.3396,364.0826638,46.29405,307.6942658
244,54718,,11.237335,15.42957,A2V,54879,97633,4359,,70The Leo,Leo,3.33,50.6073,103.8484455,168.560025,165.0587454
245,19730,,4.240404,-62.473858,G7III,19780,27256,1336,,Alp Ret,Ret,3.33,49.554,99.54054174,63.60606,161.6233442
246,38062,,7.821571,-24.859786,G6Ia,38170,63700,3045,,7Xi  Pup,Pup,3.34,367.6471,5430.002131,117.323565,1199.103075
247,32276,,6.754824,12.895591,F5IV,32362,48737,2484,Gl 242,31Xi  Gem,Gem,3.35,17.9986,12.8943662,101.32236,58.70351382
248,25218,,5.407949,-2.397146,B1V + B2,25281,35411,1788,,28Eta Ori,Ori,3.35,299.4012,3567.795883,81.119235,976.5149779
249,8867,,1.906584,63.670101,B2pvar,8886,11415,542,,45Eps Cas,Cas,3.35,126.2626,634.4537958,28.59876,411.8130457
250,41586,,8.504431,60.718169,G4II-III,41704,71369,3323,,1Omi UMa,UMa,3.35,54.9149,120.005182,127.566465,179.1082412
251,95207,,19.424972,3.114775,F0IV,95501,182640,7377,Gl 760,30Del Aql,Aql,3.36,15.5255,9.506047937,291.37458,50.63734978
252,75035,,15.378021,-44.689622,B2IV-V,75264,136504,5708,,Eps Lup,Lup,3.37,156.9859,962.941713,230.670315,512.018932
253,66040,,13.57822,-0.59582,A3V,66249,118098,5107,NN 3792,79Zet Vir,Vir,3.38,22.7118,19.97100866,203.6733,74.07589841
254,42990,,8.779587,6.418809,G0III-IV,43109,74874,3482,,11Eps Hya,Hya,3.38,39.6354,60.81350013,131.693805,129.2732352
255,50229,,10.28472,-61.332304,K3II,50371,89388,4050,,,Car,3.39,201.6129,1560.270869,154.2708,657.5725701
256,109146,,22.180908,58.201261,K1Ibv SB,109492,210745,8465,,21Zet Cep,Cep,3.39,256.4103,2523.480772,332.71362,836.2975781
257,62890,,12.926725,3.39747,M3III,63090,112300,4910,,43Del Vir,Vir,3.39,60.8273,141.9057522,193.900875,198.3918886
258,26142,,5.585633,9.934158,O...,26207,36861,1879,,39Lam Ori,Ori,3.39,336.7003,4349.106072,83.784495,1098.16823
259,119131,,17.172783,-15.726921,A3 V,,,,Gl 656.1B,,Oph,3.4,25.7931,25.30463049,257.591745,84.12574324
260,20842,,4.477705,15.870883,A7III,20894,28319,1412,,78The2Tau,Tau,3.4,46.1042,80.83510374,67.165575,150.3716146
261,111676,,22.691033,10.831364,B8.5V,112029,214923,8634,,42Zet Peg,Peg,3.41,62.6566,147.9108388,340.365495,204.3582603
262,74167,,15.20476,-52.099247,G8III,74395,134505,5649,Wo 9512A,Zet Lup,Lup,3.41,35.9712,48.75284901,228.0714,117.3222271
263,6853,,1.472759,-43.318234,K5II-III,6867,9053,429,,Gam Phe,Phe,3.41,71.6332,193.3748545,22.091385,233.6359798
264,18677,,4.011338,12.490347,B3V + A,18724,25204,1239,,35Lam Tau,Tau,3.41,148.368,829.4686951,60.17007,483.9111341
265,67251,,13.825078,-41.687709,B2IV,67464,120307,5190,,Nu  Cen,Cen,3.41,133.8688,674.8387309,207.37617,436.6211233
266,102091,,20.754811,61.838782,K0IV,102422,198149,7957,Gl 807,3Eta Cep,Cep,3.41,14.2653,7.663020723,311.322165,46.52713187
267,78148,,16.002036,-38.396706,B2.5IV,78384,143118,5948,,Eta Lup,Lup,3.42,135.5014,685.4882265,240.03054,441.9459462
268,8777,,1.884696,29.578829,F6IV,8796,11443,544,Gl 78.1,2Alp Tri,Tri,3.42,19.4175,14.07343138,28.27044,63.3313413
269,86705,,17.774319,27.720676,G5IV,86974,161797,6623,Gl 695A,86Mu  Her,Her,3.42,8.3105,2.57750787,266.614785,27.10519438
270,102064,,20.749314,-66.203212,A5IV,102395,197051,7913,,Bet Pav,Pav,3.42,41.425,64.03243245,311.23971,135.110123
271,50193,,10.278171,23.417311,F0III,50335,89025,4031,,36Zet Leo,Leo,3.43,84.0336,261.0958687,154.172565,274.0806284
272,44952,,9.182804,-58.966896,B2IV,45080,79351,3659,,,Car,3.43,136.9863,693.7452139,137.74206,446.7890366
273,93510,,19.10415,-4.882554,B9Vn,93805,177756,7236,,16Lam Aql,Aql,3.43,37.9219,53.16183951,286.56225,123.6845522
274,50230,,10.284952,42.914365,A2IV,50372,89021,4033,,33Lam UMa,UMa,3.45,42.1585,64.50598333,154.27428,137.5024773
275,5353,,1.143164,-10.182264,K2III,5364,6805,334,NN 3075,31Eta Cet,Cet,3.46,37.9939,51.9517283,17.14746,123.9193845
276,74438,,15.258376,33.314833,G8III,74666,135722,5681,,49Del Boo,Boo,3.46,37.3413,50.16490568,228.87564,121.7908904
277,3814,,0.81826,57.815187,G0V SB,3821,4614,219,Gl 34A,24Eta Cas,Cas,3.46,5.9531,1.275263706,12.2739,19.41639284
278,38713,,7.946313,-52.98236,B3IVp,38827,65575,3117,,Chi Car,Car,3.46,139.47,699.5197811,119.194695,454.8897732
279,67259,,13.826943,-42.473732,B2IV-Ve,67472,120324,5193,,Mu  Cen,Cen,3.47,155.0388,856.6432556,207.404145,505.6683485
280,12673,,2.721678,3.235818,A3V,12706,16970,804,Gl 106.1A,86Gam Cet,Cet,3.47,24.4081,21.24222477,40.82517,79.60848264
281,49441,,10.122209,16.762664,A0Ib,49583,87737,3975,,30Eta Leo,Leo,3.48,389.1051,5345.643594,151.833135,1269.08963
282,81583,,16.714933,38.922254,G8III-IV,81833,150997,6220,,44Eta Her,Her,3.48,33.3111,39.19223225,250.723995,108.6461513
283,73327,,15.032436,40.390566,G8III,73555,133208,5602,,42Bet Boo,Boo,3.49,69.0608,166.8783511,225.48654,225.2459428
284,8087,,1.734479,-15.93748,G8V,8102,10700,509,Gl 71,52Tau Cet,Cet,3.49,3.6502,0.466444525,26.017185,11.90534631
285,90143,,18.449561,-45.968459,B3IV,90422,169467,6897,,Alp Tel,Tel,3.49,85.1789,253.9802814,276.743415,277.8160931
286,112263,,22.809239,-51.316864,A3V,112623,215789,8675,Wo 9796,Eps Gru,Gru,3.49,39.5257,54.65123745,342.138585,128.9154421
287,55055,,11.307983,33.094306,K3III SB,55219,98262,4377,,54Nu  UMa,UMa,3.49,122.399,524.3243172,169.619745,399.2116824
288,33769,,7.028652,-27.93483,K4III,33856,52877,2646,,22Sig CMa,CMa,3.49,343.6426,4134.28108,105.42978,1120.810958
289,35453,,7.335383,21.98232,F0IV...,35550,56986,2777,Gl 271A,55Del Gem,Gem,3.5,18.5391,11.91242008,110.030745,60.466387
290,112364,,22.82802,66.200408,K0III,112724,216228,8694,,32Iot Cep,Cep,3.5,35.3482,43.33112852,342.4203,115.2902752
291,32672,,6.830683,-32.508478,B1.5IVne,32759,50013,2538,,13Kap CMa,CMa,3.5,202.0202,1415.141933,102.460245,658.9010035
292,112389,,22.833385,24.601579,M2III,112748,216131,8684,NN 4298,48Mu  Peg,Peg,3.51,32.5309,36.34126161,342.500775,106.1014822
293,98026,,19.979285,19.492148,K5III,98337,189319,7635,,12Gam Sge,Sge,3.51,79.2393,215.7744409,299.689275,258.4437313
294,109081,,22.169996,6.197865,A2V,109427,210418,8450,Wo 9771,26The Peg,Peg,3.52,28.2965,27.26465459,332.54994,92.29073254
295,118838,,12.694171,-1.449235,F0 V,,110380,4826,Gl 482B,29Gam Vir,Vir,3.52,11.8301,4.764309868,190.412565,38.58458096
296,92793,,18.962167,-21.106654,G8/K0II/III,93085,175775,7150,,37Xi 2Sgr,Sgr,3.52,111.9821,426.972594,284.432505,365.2363381
297,92133,Sheliak,18.834665,33.362667,A8:V comp SB,92420,174638,7106,,10Bet Lyr,Lyr,3.52,294.9853,2962.101936,282.519975,962.1122551
298,48635,,9.947708,-54.56779,B5Ib,48774,86440,3940,,Phi Vel,Vel,3.52,487.8049,8098.414473,149.21562,1591.00495
299,47373,,9.685843,9.892308,A5V+...,47508,83808,3852,,14Omi Leo,Leo,3.52,39.9521,54.35005651,145.287645,130.3061713
300,17336,,3.720806,-9.763395,K0IV,17378,23249,1136,Gl 150,23Del Eri,Eri,3.52,9.0408,2.782274658,55.81209,29.48711165
301,40411,,8.275256,9.185545,K4III,40526,69267,3249,,17Bet Cnc,Cnc,3.53,93.0233,291.8770848,124.12884,303.4010743
302,20837,,4.476943,19.180431,K0III,20889,28305,1409,,74Eps Tau,Tau,3.53,44.964,68.17105263,67.154145,146.6527838
303,56174,,11.550038,-31.857625,G8III,56343,100407,4450,,Xi  Hya,Hya,3.54,39.7456,52.77156818,173.25057,129.6326591
304,77280,,15.827002,-3.430208,A0V,77516,141513,5881,,32Mu  Ser,Ser,3.54,52.0021,90.36494737,237.40503,169.6079693
305,85998,,17.626445,-15.398557,F0IIIp,86263,159876,6561,,55Xi  Ser,Ser,3.54,32.2789,34.8337315,264.396675,105.2795691
306,69773,,14.323396,-46.058093,B2.5IV,69996,125238,5354,,Iot Lup,Lup,3.55,103.6269,355.467582,214.85094,337.985352
307,27220,,5.782595,-14.82195,A2Vann,27288,38678,1998,Gl 217.1,14Zet Lep,Lep,3.55,21.6076,15.45966219,86.738925,70.47448386
308,98924,,20.145157,-66.182068,G5IV-Vvar,99240,190248,7665,Gl 780,Del Pav,Pav,3.55,6.1084,1.235947433,302.177355,19.9229131
309,89660,,18.350736,72.732843,F7Vvar,89937,170153,6927,Gl 713A,44Chi Dra,Dra,3.55,8.0574,2.14980961,275.26104,26.27969354
310,19992,,4.298237,-33.798348,B9V,20042,27376,1347,,41Ups4Eri,Eri,3.55,54.5554,98.53715069,64.473555,177.9357104
311,1559,,0.323799,-8.823921,K2III,1562,1522,74,,8Iot Cet,Cet,3.56,84.1751,232.4877102,4.856985,274.5421392
312,10578,,2.275154,-51.512165,B8IV-V,10602,14228,674,,Phi Eri,Eri,3.56,47.1254,72.84504233,34.12731,153.7023196
313,82294,,16.872263,-38.017536,B2IV,82545,151985,6252,,Mu 2Sco,Sco,3.56,145.3488,693.1065451,253.083945,474.0638321
314,55118,,11.322347,-14.778541,K0III,55282,98430,4382,,12Del Crt,Crt,3.56,56.9476,106.3653075,169.835205,185.7380143
315,37633,,7.740793,24.397993,G8III,37740,62345,2985,,77Kap Gem,Gem,3.57,43.3463,61.09420249,116.111895,141.3765582
316,70828,,14.5305,30.371437,K3III,71053,127665,5429,,25Rho Boo,Boo,3.57,49.0918,78.34296428,217.9575,160.1158512
317,74948,,15.36344,-36.261376,K5III,75177,136422,5705,,Phi1Lup,Lup,3.57,84.317,231.206479,230.4516,275.0049545
318,44343,,9.060427,47.156525,A1Vn,44471,77327,3594,,12Kap UMa,UMa,3.57,109.8901,392.6449354,135.906405,358.4131546
319,35253,,7.30155,16.540383,A3V...,35350,56537,2763,Wo 9231A,54Lam Gem,Gem,3.58,30.931,30.81768417,109.52325,100.8833124
320,99743,,20.300904,-12.544852,G6/G8III,100064,192947,7754,,6Alp2Cap,Cap,3.58,32.4465,33.91563869,304.51356,105.8262065
321,27006,,5.741057,-22.448382,F7V,27072,38393,1983,Gl 216A,13Gam Lep,Lep,3.59,8.927,2.544485615,86.115855,29.11594612
322,60075,,12.356031,-60.401147,K3/K4III,60260,107446,4700,,Eps Cru,Cru,3.59,70.4722,158.4893192,185.340465,229.8493086
323,57584,,11.844922,1.764718,F8V,57757,102870,4540,Gl 449,5Bet Vir,Vir,3.59,10.929,3.812413511,177.67383,35.64558924
324,24614,,5.293442,-6.844409,B5III,24674,34503,1735,,20Tau Ori,Ori,3.59,151.5152,732.4871327,79.40163,494.1759157
325,7593,,1.633205,48.628213,K3III,7607,9927,464,,51    And,And,3.59,54.3183,94.18895965,24.498075,177.1623945
326,32932,,6.879816,33.961254,A3III,33018,50019,2540,,34The Gem,Gem,3.6,57.971,106.2673865,103.19724,189.0758948
327,85467,,17.518318,-60.683848,B8V,85727,158094,6500,,Del Ara,Ara,3.6,60.6796,116.4126029,262.77477,197.9101562
328,42416,,8.671554,-52.921887,B3IV,42536,74195,3447,,,Vel,3.6,151.2859,723.7690371,130.07331,493.42804
329,46518,,9.511674,-40.466769,F2IV,46651,82434,3786,Gl 351A,Psi Vel,Vel,3.6,18.8147,11.18922482,142.67511,61.36527293
330,6523,,1.40039,-8.183257,K0III,6537,8512,402,,45The Cet,Cet,3.6,34.8918,38.51234824,21.00585,113.8016992
331,76235,,15.61707,-28.135079,K3III,76470,139063,5794,,39Ups Lib,Lib,3.6,68.5871,148.730487,234.25605,223.7009419
332,49700,,10.176467,-12.354083,K0III,49841,88284,3994,,41Lam Hya,Hya,3.61,34.5066,37.32501578,152.647005,112.5453463
333,13176,,2.833063,27.260507,B8Vn,13209,17573,838,,41    Ari,Ari,3.61,50.7872,80.83510374,42.495945,165.6455
334,63411,,13.037759,-71.548855,K2III,63613,112985,4923,,Del Mus,Mus,3.61,27.8707,24.34445184,195.566385,90.90196029
335,15861,,3.413554,9.02887,G8III,15900,21120,1030,,1Omi Tau,Tau,3.61,89.2061,249.3446188,51.20331,290.9510475
336,86661,,17.762221,-64.723871,K1III,86929,160635,6582,,Eta Pav,Pav,3.61,107.9914,365.4264678,266.433315,352.2204306
337,37711,,7.754249,-37.968584,K4III,37819,63032,3017,,,Pup,3.62,347.2222,3742.829122,116.313735,1132.486039
338,113366,,23.032017,42.325979,B6pv SB,113726,217675,8762,,1Omi And,And,3.62,210.5263,1376.575387,345.480255,686.644159
339,17805,,3.819373,24.053415,B8III,17847,23850,1178,,27    Tau,Tau,3.62,117.2333,426.5795188,57.290595,382.3634419
340,82477,,16.909731,-42.361313,K4III,82729,152334,6271,,Zet2Sco,Sco,3.62,40.568,51.09754091,253.645965,132.3149661
341,7083,,1.524725,15.345823,G8III,7097,9270,437,,99Eta Psc,Psc,3.62,107.1811,356.7795883,22.870875,349.5775885
342,57190,,11.760141,-66.728763,A7III,57363,102249,4520,,Lam Mus,Mus,3.63,38.9864,46.77351413,176.402115,127.1564828
343,101442,,20.625816,14.595087,F5IV,101769,196524,7882,,6Bet Del,Del,3.64,30.931,29.16083799,309.38724,100.8833124
344,20155,,4.329889,15.627642,G8III,20205,27371,1346,,54Gam Tau,Tau,3.65,49.5295,74.06277837,64.948335,161.543436
345,76997,,15.769793,15.421826,A3V,77233,141003,5867,,28Bet Ser,Ser,3.65,47.5511,68.29674408,236.546895,155.0907657
346,88439,,18.11052,-50.091477,B2Ib,88714,165024,6743,,The Ara,Ara,3.65,249.3766,1877.586699,271.6578,813.3567435
347,46600,,9.525453,63.061861,F0IV,46733,81937,3757,NN 3559,23    UMa,UMa,3.65,23.8152,17.12379421,142.881795,77.67470371
348,110614,,22.480531,-0.019972,F3III-IV,110960,213051,8558,,55Zet1Aqr,Aqr,3.65,28.169,23.96624529,337.207965,91.87488364
349,76365,,15.64427,-29.777754,B2.5V,76600,139365,5812,,40Tau Lib,Lib,3.66,112.4859,378.4425847,234.66405,366.879512
350,75466,,15.463818,29.105703,F0p,75695,137909,5747,,3Bet CrB,CrB,3.66,34.2818,35.15604405,231.95727,111.8121476
351,102895,,20.913498,-58.454155,K0III,103227,198700,7986,,Bet Ind,Ind,3.67,187.6173,1043.277881,313.70247,611.925081
352,68537,Thuban,14.073165,64.37585,A0III SB,68756,123299,5291,,11Alp Dra,Dra,3.67,92.9368,256.0943517,211.097475,303.1189494
353,42709,,8.726539,-33.186385,B1.5III,42828,74575,3468,,Alp Pyx,Pyx,3.68,269.5418,2134.027443,130.898085,879.1267532
354,22496,,4.853434,5.605104,B2III SB,22549,30836,1552,,3Pi 4Ori,Ori,3.68,322.5806,3056.32828,72.80151,1052.115982
355,113980,,23.157443,-21.17241,K1III,114341,218594,8812,,88    Aqr,Aqr,3.68,82.9876,202.3019179,347.361645,270.6690367
356,97056,,19.789795,18.534286,M2II + B6,97365,187076,7536,,7Del Sge,Sge,3.68,182.1494,974.5407418,296.846925,594.0911971
357,57226,,11.767515,47.779406,K0III,57399,102224,4518,,63Chi UMa,UMa,3.69,56.3063,92.29963848,176.512725,183.6463758
358,47719,,9.754117,-62.507903,G5Iab/Ib,47854,84810,3884,,,Car,3.69,478.4689,6661.929002,146.311755,1560.555025
359,8989,,1.932564,-51.608896,G5IV,9007,11937,566,Gl 81A,Chi Eri,Eri,3.69,17.8508,9.272567426,28.98846,58.22145525
360,23398,,5.041301,41.075837,K4II comp,23453,32068,1612,,8Zet Aur,Aur,3.69,240.9639,1690.440932,75.619515,785.9182177
361,106642,,21.668181,-16.662308,A7III:mp...,106985,206088,8278,NN 4209,40Gam Cap,Cap,3.69,48.1464,67.48387309,325.022715,157.0323724
362,2914,,0.616188,53.896909,B2IV,2920,3360,153,,17Zet Cas,Cas,3.69,181.8182,962.0552192,9.24282,593.0109684
363,114609,,23.286094,3.282289,G7III,114971,219615,8852,,6Gam Psc,Psc,3.7,42.3012,51.61786055,349.29141,137.9679019
364,87661,,17.962744,29.24788,K0III,87933,163993,6703,,92Xi  Her,Her,3.7,41.9463,50.72242399,269.44116,136.8103742
365,15436,,3.325278,-21.757864,M3/M4III,15474,20720,1003,,16Tau4Eri,Eri,3.7,93.3707,251.420103,49.87917,304.5341403
366,28032,,5.940082,-14.1677,F1V,28103,40136,2085,Gl 225,16Eta Lep,Lep,3.71,14.8787,6.327031549,89.10123,48.52777277
367,97725,Alshain,19.921887,6.406763,G8IVvar,98036,188512,7602,Gl 771A,60Bet Aql,Aql,3.71,13.6986,5.360434578,298.828305,44.67880582
368,22744,,4.904193,2.440672,B2III SB,22797,31237,1567,,8Pi 5Ori,Ori,3.71,411.5226,4839.494493,73.562895,1342.205651
369,88494,,18.122496,9.563847,A4IVs,88771,165777,6771,Wo 9615A,72    Oph,Oph,3.71,26.6312,20.26749152,271.83744,86.85925667
370,38304,,7.870288,-40.575786,G5III...,38414,64440,3080,,,Pup,3.71,108.1081,333.8873767,118.05432,352.6010546
371,77386,,15.846935,4.47773,A2m,77622,141795,5892,NN 3921,37Eps Ser,Ser,3.71,21.5983,13.32907464,237.704025,70.44415135
372,16496,,3.548848,-9.458262,K2V,16537,22049,1084,Gl 144,18Eps Eri,Eri,3.72,3.2161,0.292954383,53.23272,10.48950312
373,103725,,21.082184,43.927852,K5Ibv SB,104060,200905,8079,,62Xi  Cyg,Cyg,3.72,258.3979,1889.731054,316.23276,842.7802547
374,28287,,5.992111,54.284656,K0III,28358,40035,2077,,33Del Aur,Aur,3.72,38.6399,42.26686143,89.881665,126.0263522
375,17457,,3.747927,24.113339,B6III,17499,23302,1142,,17    Tau,Tau,3.72,124.0695,435.7124805,56.218905,404.6601184
376,112601,,22.87691,-7.579599,M2IIIvar,112961,216386,8698,,73Lam Aqr,Aqr,3.73,118.0638,391.2010394,343.15365,385.0721675
377,71994,,14.770812,1.892885,A0V,72220,130109,5511,,109    Vir,Vir,3.73,41.2371,47.68699981,221.56218,134.4972759
